Question Number,Best Match ID
1,853528
2,957
3,823
4,957
5,823
6,957
7,2651
8,1535
9,2565
10,2705
11,1535
12,3287
13,226850
14,4242
15,2651
16,3872
17,2705
18,3872
19,4810
20,5356
21,3872
22,7223
23,4802
24,4802
25,3761
26,4810
27,7223
28,4810
29,5645
30,3519
31,7461
32,8567
33,7422
34,8061
35,8334
36,8061
37,8567
38,7553
39,8749
40,9526
41,9531
42,9792
43,8962
44,9531
45,9526
46,9850
47,9782
48,10406
49,10476
50,10729
52,12274
53,11192
54,11192
57,11252
58,13137
60,12761
61,12761
62,13577
63,17641
64,14818
66,19034
67,19667
68,19667
70,20367
71,20367
72,20000
73,19908
74,1032164
75,19908
76,22420
78,22290
79,22290
80,21390
81,20366
82,23780
83,23978
84,22290
86,22347
88,25232
89,22893
90,724084
91,24646
92,25456
93,20366
94,23780
95,25506
96,24646
97,25330
98,25330
99,25474
100,25360
101,25474
102,25897
103,25919
104,26185
105,27952
106,25474
107,25661
109,25897
111,27952
113,28347
114,27669
115,27580
116,29043
117,28347
121,31087
122,28164
123,31087
124,30706
125,31087
126,31116
127,31209
128,31378
129,30946
130,29112
131,31255
132,29112
133,31116
134,31255
135,31378
136,31209
138,31727
139,31727
140,33127
141,33052
142,33052
143,33052
145,33127
146,35003
147,34821
148,34278
149,33899
150,32465
151,35150
152,922447
154,35394
156,217020
157,34916
158,36577
159,37648
160,38022
161,36609
162,704089
163,38022
164,36668
165,36374
166,38284
167,38705
168,38924
169,37066
170,38705
171,38022
172,39787
173,39902
174,39483
175,40021
177,38483
179,39787
181,39787
182,39823
184,40021
185,40327
186,40295
187,40327
188,40327
189,40666
190,40214
194,41810
196,40336
197,43217
198,44044
199,44006
200,44176
202,41006
203,44421
204,45053
205,44006
206,44120
207,44421
208,44766
209,43921
210,44711
211,45159
212,45332
213,44796
214,44120
215,45408
216,44421
217,45332
218,46681
219,45408
220,45584
221,46681
223,47318
224,46972
225,46918
227,46918
228,45355
230,220906
231,334585
232,47347
235,46972
236,50205
238,50205
239,51015
240,50405
241,53793
243,50405
244,51015
245,53883
246,52185
247,53879
248,53883
249,53883
250,53793
252,54240
253,54516
254,53793
256,57995
257,53879
258,53879
259,54240
261,59630
262,56396
263,57247
264,57247
265,60675
266,59932
267,59630
268,57995
269,60544
270,60544
271,52185
272,60883
273,60170
274,59630
275,62538
276,61061
277,62538
278,63797
279,64714
280,64861
281,65507
283,66103
284,65930
286,66103
288,66639
289,65718
290,65113
292,66827
293,66827
294,66497
295,447880
296,115695
297,72111
298,72240
299,70161
300,66846
301,73447
303,73352
304,72675
305,72849
306,73352
308,73493
309,73460
310,73460
311,73689
312,73352
313,75012
315,72849
318,75484
320,77826
321,73689
322,77826
323,77042
324,78412
325,73689
327,78215
328,76041
329,80000
330,79286
331,78957
332,79200
333,79286
334,79200
335,78486
336,81185
337,78840
338,81185
341,82045
342,81697
343,81697
344,81558
345,81558
346,82045
347,82122
348,82572
349,81953
350,82248
351,82653
352,82045
353,82696
355,82122
359,82710
361,82248
362,82817
363,80855
364,82710
365,83590
367,83590
368,83858
369,83989
370,86587
371,85376
372,83989
373,83858
375,86618
376,82817
377,86754
378,89201
379,87517
381,88654
382,90124
383,90124
385,91675
387,410037
389,89660
391,90124
392,90466
393,93386
394,91203
395,93386
396,92837
397,93386
398,94492
399,94492
400,102723
401,290163
402,102723
403,94509
404,95726
405,95000
406,97366
407,97209
409,97844
412,98259
413,97844
415,333211
416,96656
417,99277
418,99277
419,99794
420,99803
422,99375
423,100457
424,101026
425,101510
426,97643
427,101330
428,101510
430,101510
431,102126
432,100201
433,101026
434,100270
436,1020029
437,102070
438,102505
439,102188
440,102319
441,102545
443,102502
444,102502
446,106041
447,107011
448,102729
449,102918
451,107011
452,106041
454,107738
455,109181
457,110070
459,107339
460,110109
461,109901
462,107738
464,110487
465,109901
466,110109
467,110947
468,111778
469,111456
470,114557
473,114636
474,114832
475,112155
476,115695
478,114950
479,115243
481,115695
482,115243
483,114931
484,115797
485,115863
489,116048
491,118096
492,119043
493,115863
494,118959
495,118456
496,118096
497,118959
498,1004875
499,119075
500,122976
501,123604
502,123604
503,119976
504,121619
505,118426
506,122335
507,122527
508,123244
509,123716
512,122681
513,123716
514,128638
516,126358
517,127664
519,128315
520,128948
521,128567
522,128862
523,128948
524,128567
525,129565
526,131632
527,128799
528,129871
529,130252
530,129536
531,131632
533,129871
538,133599
540,134080
541,133599
542,133406
544,133823
545,134965
547,134222
549,137200
550,135104
551,137028
552,135095
555,136987
556,1008210
557,110342
558,136987
559,137200
560,136308
561,136308
562,137539
563,137724
564,137845
565,138171
566,137510
567,138171
568,130357
569,138354
571,138064
572,35394
573,138354
574,138670
575,141172
576,138354
578,145735
579,145520
580,145761
581,143735
582,143674
583,143674
584,145520
585,145742
586,147157
587,143735
588,145742
589,146439
590,146545
591,146545
593,148984
594,149164
595,149164
596,149164
597,148954
598,149289
599,147908
600,148984
601,149785
602,149289
604,149004
605,149799
606,150916
608,151388
610,150916
612,153105
613,150863
614,410037
615,152207
616,74136
617,151931
618,154169
620,153497
621,153617
622,154453
623,153520
624,154882
625,154631
626,154322
627,154610
628,154631
629,154169
630,154453
631,155876
635,154725
638,158205
639,158845
640,157126
642,158701
643,159177
644,155829
645,158845
646,159472
647,159258
648,159660
649,159984
650,159472
654,159660
655,160090
656,160288
657,159931
660,160524
661,160370
662,160679
663,160090
665,160524
666,100130
667,163023
668,164163
669,163347
670,160524
671,164163
672,162659
673,162039
674,164930
675,163347
676,159658
677,163023
678,163347
679,162039
680,165662
681,165668
682,164928
683,164779
684,164930
685,168706
686,165518
687,166324
688,165905
689,165518
690,166324
691,165990
692,167929
693,165057
696,168706
698,169577
699,166972
701,169046
702,170095
703,169046
704,169655
705,169360
706,170251
707,170251
708,169577
709,170095
710,169577
715,173004
716,171085
717,171490
719,170569
721,170256
723,174753
724,175110
725,174753
726,178383
727,175110
728,178187
729,174132
730,119075
731,177755
734,178534
735,177245
736,180728
737,180920
738,177770
739,179519
741,180920
742,181277
743,180920
744,181399
746,181286
747,182550
749,181936
750,185026
752,175824
754,183690
755,185177
756,185026
757,185594
758,185422
759,185177
760,183846
761,185050
762,185594
763,183026
764,185837
765,185735
766,186733
767,186733
768,185580
769,186472
770,185741
771,185887
773,185837
774,188452
775,187925
777,185837
778,189633
780,190046
781,186472
786,190148
787,190046
788,190148
789,190934
790,190985
792,190731
793,191399
794,191245
795,191399
797,194158
799,193835
801,191245
802,192932
803,194390
804,194158
806,193835
807,195170
809,193517
810,1010122
811,195210
813,195736
814,196206
815,195736
817,195736
818,195210
819,196206
820,194158
821,197142
822,198014
823,197751
824,197291
825,197142
827,198462
828,197195
829,197751
830,196984
831,1002729
832,199822
833,199822
834,198014
835,198868
836,201637
838,202319
839,198868
841,202356
842,201634
843,199822
845,201853
846,202356
847,202578
850,202500
851,205659
854,201637
857,206221
858,206738
859,207442
861,135668
862,211320
863,211320
864,208576
865,210671
866,212157
867,211320
868,212157
869,211027
870,214296
872,214261
873,211873
876,214555
877,214296
878,208576
880,214261
881,214657
882,214657
883,214296
884,214768
886,214768
887,214555
889,215079
890,214768
891,215449
892,215449
893,217020
894,217049
895,215340
896,217365
897,217143
898,217262
900,218500
902,217071
903,218625
905,78215
906,217262
907,219254
908,218625
909,218457
910,218500
911,220102
912,217365
913,220102
914,220619
915,220906
916,1033514
917,219781
918,220906
919,220102
920,220619
922,220619
923,219843
924,220066
925,221646
930,221918
931,221646
932,221351
933,221953
934,221953
935,224763
936,224839
938,224872
939,225145
940,225145
941,225342
942,225342
943,224872
945,225058
946,225435
947,224925
948,224872
949,226246
950,224912
952,226850
953,225353
954,226437
955,226381
956,227338
958,231020
959,230877
960,227260
961,225145
962,232125
963,232125
964,149289
969,233858
970,232680
972,234119
974,234119
975,234889
976,234119
977,233607
978,232554
979,233753
980,239154
982,238492
983,240992
985,239704
986,242672
988,243032
991,241934
992,245503
993,245503
994,241923
995,245400
996,244514
997,243168
1000,245662
1001,247182
1002,159426
1003,247182
1004,247911
1005,246541
1006,247724
1007,246541
1008,246948
1010,248062
1011,1032039
1012,245624
1014,247999
1015,251856
1016,251856
1017,251215
1018,249365
1019,252074
1020,252074
1021,252051
1022,251215
1023,252301
1024,252051
1027,256482
1028,256430
1029,255207
1031,255207
1032,255575
1033,254017
1034,258467
1035,256430
1037,256459
1039,257550
1041,258467
1042,258467
1043,258525
1045,258944
1046,257569
1047,258503
1048,258551
1049,257550
1051,258944
1052,258551
1053,260100
1054,261365
1056,261137
1057,260100
1059,258944
1060,262455
1061,262370
1063,258643
1064,258664
1065,262455
1066,262370
1067,261732
1068,264903
1069,262598
1071,261365
1072,266634
1073,266114
1074,266790
1075,266705
1076,268072
1077,268029
1078,267788
1079,267789
1080,268919
1082,267789
1083,268072
1084,268215
1086,1002692
1087,269836
1088,272269
1089,269560
1090,271180
1091,269741
1092,271515
1093,272269
1094,1000093
1095,272818
1096,271515
1097,273347
1099,276073
1100,275981
1101,277981
1102,276105
1103,277321
1104,280784
1105,280784
1106,280556
1107,281034
1108,277321
1109,281235
1112,282076
1113,281034
1114,281602
1115,282675
1116,281817
1117,281128
1118,283165
1119,281817
1120,282675
1121,282076
1122,282917
1123,283165
1124,282675
1126,286453
1127,285962
1128,285962
1129,281602
1130,286453
1131,286538
1133,185177
1134,284297
1135,287817
1136,286301
1137,289835
1138,286596
1141,291119
1142,289530
1143,291119
1144,291688
1145,292021
1146,107738
1147,292021
1149,292210
1150,292210
1151,291688
1152,292273
1153,293733
1154,296570
1156,296744
1158,296744
1159,296570
1160,297595
1161,1010122
1162,297347
1163,301539
1164,297487
1165,298967
1166,301539
1167,297595
1168,301996
1170,299447
1171,299447
1174,301969
1178,307216
1179,302312
1180,302637
1181,307216
1183,307589
1185,307310
1186,308323
1187,303928
1189,308145
1190,308831
1191,309432
1192,308677
1193,308323
1194,300614
1195,307598
1196,309432
1197,311346
1198,145761
1199,311973
1200,312988
1201,308677
1202,312208
1203,312988
1205,312988
1206,315028
1207,315028
1208,315546
1209,313405
1210,315546
1211,315028
1212,316170
1213,316170
1214,316111
1215,313221
1216,316516
1217,317205
1218,320280
1219,315297
1220,316571
1221,320280
1223,317055
1224,317352
1225,317055
1226,323281
1227,315297
1229,323961
1230,325490
1231,320550
1232,1033514
1233,320550
1234,326952
1235,561978
1236,325865
1237,325865
1238,328945
1239,327722
1241,326345
1242,331200
1243,320550
1247,331329
1248,332426
1249,331803
1250,332426
1251,332426
1252,333894
1253,339966
1254,336424
1256,339966
1257,336454
1259,334585
1260,337699
1261,340222
1262,340398
1263,339966
1264,337699
1266,340078
1267,341093
1270,340398
1271,341388
1272,341256
1273,341414
1274,341299
1275,341414
1276,341414
1277,343176
1278,341559
1279,345250
1281,347197
1282,347197
1283,346725
1284,347197
1285,346275
1286,348531
1287,349543
1288,347210
1289,353334
1290,353128
1291,353334
1292,350492
1293,354502
1294,354502
1295,353349
1296,355871
1297,354624
1298,353334
1299,353128
1300,354743
1301,354502
1302,357871
1304,354743
1305,357490
1306,357362
1307,353128
1308,360672
1309,357362
1310,359089
1312,360704
1313,360824
1314,362154
1315,352953
1316,361353
1317,362501
1318,109181
1319,361375
1320,361353
1321,360934
1322,362598
1324,363535
1328,364699
1329,364236
1330,364699
1331,365060
1333,365936
1336,365794
1337,364236
1339,365254
1340,365254
1341,365936
1343,365998
1344,365887
1346,369338
1347,366448
1348,369338
1349,366175
1350,369628
1351,365998
1352,365794
1353,369514
1354,369547
1355,369514
1356,362955
1358,369338
1359,370032
1360,370667
1361,366115
1362,370469
1364,369898
1365,370469
1366,370236
1367,372093
1368,372319
1370,369839
1371,372609
1372,372547
1373,372954
1374,294755
1375,372954
1376,373009
1377,373009
1378,372954
1379,372093
1380,372093
1381,373727
1382,373562
1383,374926
1384,375139
1385,375904
1386,376482
1387,376495
1388,374926
1390,376436
1394,376421
1395,376495
1397,377129
1398,380833
1399,376495
1400,377129
1401,378327
1403,379003
1404,383289
1405,859497
1406,378327
1407,384017
1408,383904
1409,383007
1410,386101
1411,386101
1412,384017
1413,386156
1415,385922
1416,388909
1417,386107
1418,386107
1419,255467
1420,110947
1421,388909
1423,393547
1424,388909
1425,393696
1427,394068
1428,389886
1430,393547
1431,393547
1432,389058
1433,389886
1435,396369
1436,396705
1437,397723
1438,197563
1439,399487
1441,100201
1442,397723
1443,399487
1445,401096
1446,400597
1447,401096
1448,404422
1449,409074
1450,400482
1451,404422
1453,363518
1454,409467
1458,409131
1459,406171
1460,411681
1461,411681
1462,412948
1463,410942
1464,411664
1465,411664
1466,411681
1467,412414
1468,413550
1469,413550
1471,411610
1472,416077
1473,416077
1476,417175
1477,416607
1478,417419
1479,412948
1480,417672
1481,419807
1482,419139
1483,420575
1484,419807
1485,417419
1487,417672
1488,413623
1490,417419
1491,423798
1493,421460
1494,109153
1496,426778
1497,424479
1501,424875
1502,425048
1503,424479
1504,427025
1505,426269
1506,423497
1508,428784
1509,424586
1510,427050
1511,426269
1512,427050
1513,428507
1515,429544
1516,429275
1517,428885
1521,428638
1522,431245
1523,430590
1524,431468
1525,434850
1526,433848
1527,430348
1528,435088
1529,434407
1530,436991
1532,436040
1533,434781
1534,436056
1535,433455
1536,436040
1538,431468
1539,434850
1540,436114
1542,440205
1544,439458
1545,440509
1546,440248
1547,441854
1548,439693
1549,437066
1550,440637
1551,442516
1552,440509
1553,442162
1554,440248
1555,442516
1557,442659
1558,444445
1559,442910
1560,444445
1561,441854
1562,444919
1563,444687
1564,445600
1565,444919
1566,444687
1567,444445
1569,445803
1570,445600
1571,445279
1573,445655
1574,445600
1575,444237
1576,447880
1577,446934
1578,448504
1579,448643
1580,446934
1581,446934
1582,452318
1583,447880
1584,450563
1587,452372
1590,454683
1593,454490
1594,286538
1595,456857
1596,456078
1597,456857
1598,459137
1600,456892
1601,456078
1602,459231
1603,456892
1604,459521
1605,462292
1607,458676
1608,459319
1610,463151
1611,463151
1612,463995
1613,463995
1614,462292
1615,463838
1616,462336
1617,459319
1618,465901
1619,466139
1620,467946
1622,467951
1623,466139
1624,466199
1625,459435
1626,470601
1627,470683
1628,470683
1630,470596
1631,467946
1632,466936
1633,470596
1634,467946
1635,470683
1636,470601
1637,473119
1638,465901
1639,473081
1640,475140
1641,473081
1643,473354
1644,473081
1645,473354
1646,475437
1647,473359
1648,473359
1649,474195
1650,475496
1651,478189
1653,476831
1654,477435
1657,477364
1658,481867
1659,478676
1660,479581
1662,478649
1663,478676
1664,136987
1665,479130
1666,481867
1667,480543
1668,482665
1669,481771
1670,481771
1673,482381
1674,482212
1676,483320
1677,482381
1679,485398
1680,482381
1681,470601
1682,486934
1683,481958
1684,481958
1685,486752
1686,486934
1687,482757
1688,488678
1689,488678
1690,491409
1691,489614
1692,1010122
1693,492165
1694,490984
1695,489977
1696,491530
1698,491693
1699,490606
1700,492218
1701,493598
1702,492165
1703,492710
1704,494549
1705,496439
1706,492710
1707,493135
1708,496439
1709,494549
1711,496818
1712,497089
1714,497431
1715,499560
1716,497089
1718,502004
1719,500118
1721,500966
1722,505787
1723,505787
1724,170383
1727,502004
1728,506152
1730,506496
1731,9526
1732,3519
1733,506152
1735,8090
1736,10406
1737,8799
1738,505787
1739,10522
1741,19667
1744,18147
1748,25215
1749,25661
1750,18308
1751,22347
1753,20410
1754,23780
1756,25891
1757,25402
1758,36342
1759,29112
1760,27669
1761,35003
1762,36577
1763,36870
1764,40655
1765,25891
1766,37648
1768,46918
1769,41810
1770,52135
1771,43217
1772,43186
1774,44006
1775,45355
1777,60675
1778,39902
1780,52135
1782,51769
1783,65930
1785,54727
1786,60987
1787,54727
1788,59932
1789,66639
1790,78425
1791,67355
1792,74656
1794,81659
1795,76041
1796,77042
1797,83590
1798,81659
1799,82572
1801,87985
1802,90466
1804,92785
1805,99576
1806,94369
1807,97844
1808,86879
1809,99277
1810,95461
1811,110487
1812,102723
1814,106654
1815,108098
1816,107139
1817,107139
1818,112638
1819,112019
1820,115797
1821,112499
1822,122681
1824,119043
1825,118683
1826,110836
1827,115044
1828,121611
1829,122852
1831,119075
1832,110836
1833,119485
1834,122527
1835,128638
1836,133873
1837,130252
1838,133397
1839,128799
1840,137115
1841,136074
1842,138064
1845,137028
1846,138670
1847,127664
1848,137906
1849,137376
1851,148954
1852,139565
1854,138670
1855,142257
1856,145735
1858,142796
1859,139426
1860,150916
1861,142257
1862,154366
1863,154366
1864,154610
1866,154784
1868,159200
1870,158205
1871,169957
1872,167929
1874,155829
1875,177245
1876,173287
1877,167929
1878,158179
1879,114652
1880,179519
1883,183348
1884,187892
1885,186472
1887,185887
1888,183067
1890,183690
1891,187892
1892,194390
1894,198324
1895,210671
1896,217365
1897,225945
1898,198868
1900,199815
1901,224763
1902,217262
1903,230429
1904,230429
1905,226381
1906,237086
1908,231608
1909,246921
1910,248015
1911,247999
1913,249714
1914,257755
1917,258551
1918,269679
1920,272605
1921,277981
1922,268919
1923,307999
1924,281817
1925,280556
1926,320280
1927,273709
1929,269560
1931,335897
1936,353349
1937,354624
1938,354769
1939,359089
1940,350492
1941,360946
1942,361641
1943,361641
1944,355293
1945,364079
1946,356358
1947,364079
1949,375649
1950,386156
1951,370469
1953,372319
1954,377143
1955,389343
1956,365794
1957,409074
1959,396369
1960,383904
1961,366448
1965,394024
1966,409470
1967,426449
1968,406717
1969,405826
1970,414531
1971,406140
1973,406717
1974,432080
1975,412699
1976,442649
1978,445803
1979,421460
1980,429544
1981,100201
1982,442649
1983,431245
1984,444237
1985,459626
1986,455369
1988,456857
1989,445474
1990,462336
1991,462336
1992,472811
1993,470596
1994,459265
1996,476593
1997,475614
1999,445279
2000,477784
2002,491530
2003,478645
2004,478649
2005,477364
2007,493858
2009,497565
2010,498184
2012,499087
2013,509900
2014,507098
2017,506504
2018,509919
2019,507885
2020,510295
2021,507098
2022,509900
2023,510101
2024,511307
2025,509919
2026,510101
2027,509919
2028,100201
2029,510101
2031,1033324
2033,520900
2034,520169
2036,520505
2038,520900
2041,524291
2042,526455
2045,526224
2046,526224
2047,527475
2048,527475
2049,531662
2050,527588
2051,530871
2053,530871
2055,531662
2059,533537
2060,533566
2061,533304
2062,539384
2063,533296
2064,537266
2065,536218
2066,533296
2068,539307
2069,541145
2071,543848
2072,535662
2073,547120
2074,546426
2075,546834
2078,546051
2079,546426
2080,547120
2081,546426
2082,198462
2083,548061
2084,547395
2085,547395
2086,550436
2087,551728
2088,552514
2089,550436
2090,549181
2091,551728
2092,552903
2093,552903
2095,10522
2096,563305
2099,553774
2100,561978
2101,563305
2102,554879
2103,556655
2104,564834
2105,565347
2106,567757
2107,565497
2108,571317
2110,573872
2111,569755
2112,572808
2113,572808
2114,574213
2116,579616
2117,575626
2118,576831
2119,573114
2121,579616
2122,577581
2123,576831
2126,579674
2127,579674
2128,582460
2129,583625
2130,582460
2131,582612
2132,583625
2133,582612
2135,585666
2138,584479
2139,586348
2140,586380
2141,592744
2144,592744
2145,444788
2146,593061
2147,593038
2148,593061
2149,593061
2150,595438
2151,595387
2152,595068
2153,100201
2154,595068
2155,595882
2156,594938
2157,594534
2158,45332
2159,593342
2160,597890
2161,595387
2162,595882
2164,597890
2166,605776
2168,606686
2170,606991
2171,606605
2173,606775
2174,606605
2175,606991
2176,606936
2178,132194
2179,609149
2180,606686
2181,606936
2182,607488
2183,607488
2185,609149
2186,607875
2188,610059
2190,614544
2192,624720
2193,611712
2194,614296
2196,611925
2197,614291
2198,614296
2200,625015
2201,626387
2202,627697
2203,627998
2204,627766
2205,627938
2206,630007
2207,628606
2209,627998
2210,631739
2211,632162
2212,633093
2213,628517
2214,633629
2216,633275
2217,632162
2219,633132
2220,531662
2221,635598
2222,635656
2223,635085
2225,636002
2226,636603
2227,637077
2229,637077
2231,634958
2232,632938
2234,641403
2236,640550
2237,639466
2240,640369
2241,644022
2242,644022
2243,643739
2246,645789
2247,646945
2249,646530
2250,648207
2252,648207
2255,651260
2256,647584
2257,554077
2258,647668
2259,651264
2260,647584
2261,651260
2262,649547
2263,649547
2264,652039
2266,651438
2267,651890
2268,652039
2269,651797
2270,650978
2272,1010434
2273,645304
2274,651264
2276,653029
2277,654669
2278,652422
2279,654357
2280,657440
2281,110947
2283,654669
2284,654800
2285,654800
2288,657226
2289,649167
2290,655795
2292,657438
2294,657541
2296,657440
2297,661756
2298,660115
2299,662832
2301,660402
2302,664339
2303,664735
2304,663814
2305,457437
2306,660958
2307,662753
2308,664589
2309,664735
2310,665713
2311,237820
2313,662312
2315,668240
2318,670992
2319,668707
2320,669466
2321,667619
2322,669155
2323,668728
2324,670156
2325,672113
2326,672113
2329,673034
2331,669155
2332,673034
2333,673271
2334,673332
2336,673271
2337,673513
2338,674633
2339,674872
2341,676167
2343,675685
2344,677141
2345,677559
2346,677668
2347,677852
2349,676603
2350,674872
2351,677559
2352,679155
2353,677901
2356,681358
2357,681358
2358,683766
2360,683766
2361,683106
2362,684139
2363,683106
2365,684352
2366,685173
2368,686264
2369,686481
2371,686546
2372,687381
2373,683835
2374,687884
2375,686858
2376,686264
2377,687467
2379,688269
2381,687884
2382,686835
2383,686795
2384,688233
2385,688269
2387,688269
2390,689098
2391,691462
2392,689928
2393,692305
2394,689859
2395,689098
2399,695435
2400,693140
2401,694085
2403,696704
2404,696463
2405,696704
2407,697934
2410,699488
2414,302637
2416,702959
2418,700247
2419,287776
2420,702785
2421,706221
2422,1004875
2423,706221
2424,706580
2425,707920
2426,705686
2427,705797
2428,707920
2429,711049
2430,710478
2431,710547
2432,710478
2433,711235
2434,715289
2435,710547
2436,712662
2437,719776
2441,712662
2442,719776
2444,717633
2445,718531
2446,721621
2447,720917
2448,722201
2449,724526
2451,513031
2452,724526
2453,520505
2454,525203
2455,524220
2456,720917
2457,531662
2458,525203
2459,537266
2460,533803
2462,544752
2464,546315
2465,552422
2466,552140
2467,553823
2469,563305
2470,538313
2471,577581
2473,565347
2474,524227
2475,567757
2476,574213
2477,569348
2478,546051
2480,573883
2481,579951
2482,569755
2483,598061
2484,549854
2485,593653
2486,598061
2487,604752
2488,607456
2489,595438
2490,614071
2491,630007
2493,615996
2494,582237
2495,627697
2497,631739
2499,640369
2500,654357
2503,645304
2507,646143
2508,651438
2509,646125
2510,651264
2511,640550
2512,664589
2513,658627
2515,665710
2516,136987
2518,662975
2520,677559
2521,672559
2523,675820
2524,688896
2525,688080
2526,681977
2527,661756
2528,700553
2530,705607
2531,706580
2532,689928
2533,716910
2535,198462
2536,722201
2537,881420
2538,887085
2539,886238
2540,897218
2541,911856
2542,883812
2544,914143
2545,886238
2546,913770
2547,920237
2548,917962
2549,920427
2550,919156
2551,914029
2552,922210
2553,923642
2554,924013
2555,928523
2556,928523
2557,929414
2558,928491
2559,940687
2560,937698
2561,935283
2562,934510
2563,938693
2564,943720
2565,940687
2566,943546
2567,948173
2568,946496
2569,950196
2570,948047
2571,951446
2572,950949
2573,952642
2574,952642
2575,954239
2576,950194
2577,953833
2578,954922
2579,952383
2580,880761
2581,902716
2582,934775
2583,925241
2584,937492
2585,943720
2586,953833
2587,947522
2588,954239
2589,924013
2590,942666
2591,949666
2592,896627
2593,947892
2595,964165
2596,939530
2597,959508
2598,958526
2599,967802
2600,968511
2601,969956
2602,973997
2603,973080
2604,974007
2605,972306
2606,981694
2607,972461
2608,988197
2609,981752
2610,994493
2611,991615
2612,984916
2613,981467
2614,995067
2615,995160
2616,984818
2617,998865
2618,1004586
2619,1002729
2620,982676
2621,1002692
2622,1010122
2623,1004813
2625,1010434
2626,1014222
2627,1010434
2628,1014417
2630,1028669
2631,1028781
2633,1029464
2634,1028890
2635,1030391
2636,1018001
2638,106092
2639,539289
2640,981533
2641,981467
2642,285918
2643,987538
2644,967634
2645,1019362
2646,973080
2647,987653
2648,1019562
2649,985435
2650,1030987
2651,1034637
2652,728776
2653,983187
2654,729956
2655,729924
2656,736094
2657,737782
2658,202319
2659,741416
2660,732243
2661,741416
2662,742739
2663,737466
2664,746815
2665,742814
2666,746643
2667,732750
2668,747913
2669,297347
2670,750693
2671,755371
2672,741308
2673,759310
2674,761465
2675,763133
2676,759310
2677,764584
2678,761465
2679,765358
2680,775314
2681,754922
2682,778043
2683,780926
2684,780926
2685,778043
2686,785618
2687,780926
2688,785618
2689,790905
2690,779179
2691,772484
2692,791124
2693,804190
2694,798791
2695,798135
2696,794330
2697,807742
2698,804460
2700,806041
2701,281235
2702,804190
2703,814845
2704,813259
2705,812496
2706,819567
2707,816853
2708,835838
2709,835838
2710,824025
2711,839513
2712,831721
2713,838763
2714,843430
2715,841315
2716,851152
2717,847718
2718,849141
2719,859497
2720,861503
2721,863733
2722,851152
2724,849433
2725,859504
2726,741308
2727,736029
2728,761004
2729,743201
2730,791440
2731,732313
2733,818895
2734,822063
2735,846932
2736,771545
2737,853528
2738,869923
2739,845485
2740,842270
